DATE,MAFAINUSA646N
1953-01-01,4706
1954-01-01,4684
1955-01-01,4962
1956-01-01,5341
1957-01-01,5443
1958-01-01,5565
1959-01-01,5976
1960-01-01,6227
1961-01-01,6471
1962-01-01,6670
1963-01-01,6998
1964-01-01,7336
1965-01-01,7704
1966-01-01,8395
1967-01-01,8801
1968-01-01,9670
1969-01-01,10580
1970-01-01,11110
1971-01-01,11580
1972-01-01,12630
1973-01-01,13620
1974-01-01,14710
1975-01-01,15550
1976-01-01,16870
1977-01-01,18260
1978-01-01,20090
1979-01-01,22320
1980-01-01,23970
1981-01-01,25840
1982-01-01,27390
1983-01-01,28640
1984-01-01,31050
1985-01-01,32940
1986-01-01,34920
1987-01-01,36880
1988-01-01,38610
1989-01-01,41510
1990-01-01,42650
1991-01-01,43240
1992-01-01,44220
1993-01-01,47220
1994-01-01,49340
1995-01-01,51350
1996-01-01,53680
1997-01-01,56900
1998-01-01,59590
1999-01-01,62570
2000-01-01,65770
2001-01-01,66860
2002-01-01,66970
2003-01-01,68560
2004-01-01,70390
2005-01-01,73300
2006-01-01,77320
2007-01-01,78850
2008-01-01,79630
2009-01-01,78540
2010-01-01,78180
2011-01-01,81010
2012-01-01,82840
2013-01-01,87670
2014-01-01,88770
2015-01-01,92670
2016-01-01,97360
2017-01-01,103200
2018-01-01,106000
2019-01-01,116700
2020-01-01,115300
2021-01-01,121800
2022-01-01,126500
