DATE,RHORUSQ156N
1965-01-01,62.9
1965-04-01,62.9
1965-07-01,62.9
1965-10-01,63.4
1966-01-01,63.5
1966-04-01,63.2
1966-07-01,63.3
1966-10-01,63.8
1967-01-01,63.3
1967-04-01,63.9
1967-07-01,63.8
1967-10-01,63.5
1968-01-01,63.6
1968-04-01,64.1
1968-07-01,64.1
1968-10-01,63.6
1969-01-01,64.1
1969-04-01,64.4
1969-07-01,64.4
1969-10-01,64.4
1970-01-01,64.3
1970-04-01,64.0
1970-07-01,64.4
1970-10-01,64.0
1971-01-01,64.0
1971-04-01,64.1
1971-07-01,64.4
1971-10-01,64.5
1972-01-01,64.3
1972-04-01,64.5
1972-07-01,64.3
1972-10-01,64.4
1973-01-01,64.9
1973-04-01,64.4
1973-07-01,64.4
1973-10-01,64.4
1974-01-01,64.8
1974-04-01,64.8
1974-07-01,64.6
1974-10-01,64.4
1975-01-01,64.4
1975-04-01,64.9
1975-07-01,64.6
1975-10-01,64.5
1976-01-01,64.6
1976-04-01,64.6
1976-07-01,64.9
1976-10-01,64.8
1977-01-01,64.8
1977-04-01,64.5
1977-07-01,65.0
1977-10-01,64.9
1978-01-01,64.8
1978-04-01,64.4
1978-07-01,65.2
1978-10-01,65.4
1979-01-01,64.8
1979-04-01,64.9
1979-07-01,65.8
1979-10-01,65.4
1980-01-01,65.5
1980-04-01,65.5
1980-07-01,65.8
1980-10-01,65.5
1981-01-01,65.6
1981-04-01,65.3
1981-07-01,65.6
1981-10-01,65.2
1982-01-01,64.8
1982-04-01,64.9
1982-07-01,64.9
1982-10-01,64.5
1983-01-01,64.7
1983-04-01,64.7
1983-07-01,64.8
1983-10-01,64.4
1984-01-01,64.6
1984-04-01,64.6
1984-07-01,64.6
1984-10-01,64.1
1985-01-01,64.1
1985-04-01,64.1
1985-07-01,63.9
1985-10-01,63.5
1986-01-01,63.6
1986-04-01,63.8
1986-07-01,63.8
1986-10-01,63.9
1987-01-01,63.8
1987-04-01,63.8
1987-07-01,64.2
1987-10-01,64.1
1988-01-01,63.7
1988-04-01,63.7
1988-07-01,64.0
1988-10-01,63.8
1989-01-01,63.9
1989-04-01,63.8
1989-07-01,64.1
1989-10-01,63.8
1990-01-01,64.0
1990-04-01,63.7
1990-07-01,64.0
1990-10-01,64.1
1991-01-01,63.9
1991-04-01,63.9
1991-07-01,64.2
1991-10-01,64.2
1992-01-01,64.0
1992-04-01,63.9
1992-07-01,64.3
1992-10-01,64.4
1993-01-01,64.2
1993-04-01,64.4
1993-07-01,64.7
1993-10-01,64.6
1994-01-01,63.8
1994-04-01,63.8
1994-07-01,64.1
1994-10-01,64.2
1995-01-01,64.2
1995-04-01,64.7
1995-07-01,65.0
1995-10-01,65.1
1996-01-01,65.1
1996-04-01,65.4
1996-07-01,65.6
1996-10-01,65.4
1997-01-01,65.4
1997-04-01,65.7
1997-07-01,66.0
1997-10-01,65.7
1998-01-01,65.9
1998-04-01,66.0
1998-07-01,66.8
1998-10-01,66.4
1999-01-01,66.7
1999-04-01,66.6
1999-07-01,67.0
1999-10-01,66.9
2000-01-01,67.1
2000-04-01,67.2
2000-07-01,67.7
2000-10-01,67.5
2001-01-01,67.5
2001-04-01,67.7
2001-07-01,68.1
2001-10-01,68.0
2002-01-01,67.8
2002-04-01,67.6
2002-07-01,68.0
2002-10-01,68.3
2003-01-01,68.0
2003-04-01,68.0
2003-07-01,68.4
2003-10-01,68.6
2004-01-01,68.6
2004-04-01,69.2
2004-07-01,69.0
2004-10-01,69.2
2005-01-01,69.1
2005-04-01,68.6
2005-07-01,68.8
2005-10-01,69.0
2006-01-01,68.5
2006-04-01,68.7
2006-07-01,69.0
2006-10-01,68.9
2007-01-01,68.4
2007-04-01,68.2
2007-07-01,68.2
2007-10-01,67.8
2008-01-01,67.8
2008-04-01,68.1
2008-07-01,67.9
2008-10-01,67.5
2009-01-01,67.3
2009-04-01,67.4
2009-07-01,67.6
2009-10-01,67.2
2010-01-01,67.1
2010-04-01,66.9
2010-07-01,66.9
2010-10-01,66.5
2011-01-01,66.4
2011-04-01,65.9
2011-07-01,66.3
2011-10-01,66.0
2012-01-01,65.4
2012-04-01,65.5
2012-07-01,65.5
2012-10-01,65.4
2013-01-01,65.0
2013-04-01,65.0
2013-07-01,65.3
2013-10-01,65.2
2014-01-01,64.8
2014-04-01,64.7
2014-07-01,64.4
2014-10-01,64.0
2015-01-01,63.7
2015-04-01,63.4
2015-07-01,63.7
2015-10-01,63.8
2016-01-01,63.5
2016-04-01,62.9
2016-07-01,63.5
2016-10-01,63.7
2017-01-01,63.6
2017-04-01,63.7
2017-07-01,63.9
2017-10-01,64.2
2018-01-01,64.2
2018-04-01,64.3
2018-07-01,64.4
2018-10-01,64.8
2019-01-01,64.2
2019-04-01,64.1
2019-07-01,64.8
2019-10-01,65.1
2020-01-01,65.3
2020-04-01,67.9
2020-07-01,67.4
2020-10-01,65.8
2021-01-01,65.6
2021-04-01,65.4
2021-07-01,65.4
2021-10-01,65.5
2022-01-01,65.4
2022-04-01,65.8
2022-07-01,66.0
2022-10-01,65.9
2023-01-01,66.0
2023-04-01,65.9
2023-07-01,66.0
